Sample_ID;LATf;LONGf;Reference;LATi;LONGi;SiO2;MgO;TiO2;Al2O3;Fe2O3t;MnO;CaO;Na2O;K2O;P2O5;LOI;Fe2O3;FeO;Ba;Rb;Sr;Itrio;Zr;Ti
ST932;-27.35;-48.26;Peate et al., 1999;-27.35;-48.26;51.68;4.12;4.03;13.33;13.61;0.17;7.76;2.7;1.99;0.62;0.45;;;714;54;816;42;352;24160.29
ST933;-27.35;-48.26;Peate et al., 1999;-27.35;-48.26;51.86;4.66;3.68;13.38;12.88;0.16;7.43;2.79;1.66;0.5;1.11;;;540;48;620;40;318;22062
ST934;-27.35;-48.26;Peate et al., 1999;-27.35;-48.26;52.16;4.61;3.66;13.34;12.96;0.16;8.35;2.65;1.62;0.49;0.03;;;597;31;746;40;320;21942.1
ST935;-27.35;-48.26;Peate et al., 1999;-27.35;-48.26;54.82;2.69;2.63;13.08;13.44;0.2;6.53;3.07;2.5;1.05;1.33;;;721;58;519;61;433;15767.14
BRA7C;-25;-51;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25;-51;50.41;4.25;3.85;14.66;12.97;0.15;9.58;2.19;1.27;0.69;;;;798;100;831;41;359;23081.17
GB256;-25;-51;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25;-51;52.21;4.52;3.41;14.24;11.61;0.11;8.35;2.73;2.27;0.55;;;;664;56;619;31;319;20443.33
GB257;-25;-51;"Piccirillo and Melfi, 1988; Marques et al., 1999";-25;-51;52.62;4.79;3.39;14.19;11.26;0.11;8.55;2.57;1.89;0.63;;;;621;38;635;32;309;20323.42
CS900;-26.99258889;-51.25328889;Peate and Hawkesworth, 1996;"26°59'33.32""S";"51°15'11.84""W";54.37;5.02;1.36;13.93;12.17;0.19;8.75;2.66;1.37;0.18;0.4;;;365;49;220;32;149;8153.35
CS843;-26.99258889;-51.25328889;Peate and Hawkesworth, 1996;"26°59'33.32""S";"51°15'11.84""W";53.22;5.32;1.3;14.05;12.75;0.18;9.12;2.63;1.23;0.19;0.43;;;327;44;217;29;139;7793.64
CB10;-28.13611111;-49.48055556;Acosta et al., 2023;"28º8'10""S";"49º28'50""W";52.89;4.65;1.4;13.57;13.06;0.19;8.49;2.64;0.97;0.18;1.7;;;308;32.5;242.6;29.5;152.6;8393.15
LR02A;-29.59753889;-51.3574;Rossetti et al. 2014;"29°35'51.14""S";"51°21'26.64""W";55.94;3.85;1.3;14.45;10.17;0.13;6.38;2.82;2.65;0.28;1.8;;;619;88;273;28;211;7793.64
LR04A;-29.48354444;-51.35169722;Rossetti et al. 2014;"29°29'0.76""S";"51°21'6.11""W";55.65;4.08;1.33;14.29;10.39;0.15;7.11;2.63;2.34;0.29;1.5;;;585;82;275;27;203;7973.5
LR11A;-29.43972222;-51.353325;Rossetti et al. 2014;"29°26'23.00""S";"51°21'11.97""W";50.91;7.14;1.17;14.42;11.08;0.17;9.81;2.03;1.06;0.16;1.7;;;256;32;230;22;107;7014.28
LR12A;-29.45174444;-51.31488611;Rossetti et al. 2014;"29°27'6.28""S";"51°18'53.59""W";50.56;8.62;1.07;14.09;11.06;0.16;9.71;1.82;0.92;0.14;1.5;;;233;28;215;19;95;6414.77
LR48;-29.394525;-51.24126944;"Rossetti et al. 2014; 2021";"29°23'40.29""S";"51°14'28.57""W";50.31;8.77;1.06;14.22;11.37;0.17;9.69;1.88;0.96;0.14;1.1;;;240;27;225;20;105;6354.82
LBC1;-29.62999167;-51.14315556;Rossetti et al. 2014;"29°37'47.97""S";"51°8'35.36""W";57.48;3.53;1.4;14.18;10.21;0.15;6.47;2.76;2.54;0.3;0.7;;;627;92;284;33;245;8393.15
LBC12;-29.46452778;-51.14685278;Rossetti et al. 2014;"29°27'52.30""S";"51°8'48.67""W";55.42;4.2;1.31;14.33;10.5;0.14;6.69;2.91;2.37;0.28;1.6;;;608;86;299;30;221;7853.59
CT2*;-29.36717778;-52.06253333;Barreto et al. 2016;"29°22'1.84""S";"52° 3'45.12""W";51.65;4.88;0.95;13.33;10.08;0.14;7.46;3.15;0.5;0.15;7.4;;;442;15;599;19;103;5695.35
PSC1A;-29.72667222;-52.41402778;Barreto et al. 2016;"29°43'36.02""S";"52°24'50.50""W";55.01;2.39;1.47;14.84;10.81;0.09;2.74;2.55;3.34;0.21;6.3;;;662;93;155;35;235;8812.81
PSC1B;-29.72667222;-52.41402778;Barreto et al. 2016;"29°43'36.02""S";"52°24'50.50""W";58.35;2.92;1.31;13.68;10.51;0.13;6.2;2.43;2.67;0.2;1.3;;;521;90;204;34;217;7853.59
PSC1D;-29.72667222;-52.41402778;Barreto et al. 2016;"29°43'36.02""S";"52°24'50.50""W";57.83;2.83;1.36;14.05;10.23;0.14;5.8;2.24;2.62;0.17;2.5;;;533;86;180;33;218;8153.35
PSC2C*;-29.56664167;-52.63081111;Barreto et al. 2016;"29°33'59.91""S";"52°37'50.92""W";49.45;5.96;1.07;15.39;11.72;0.16;10.42;2.09;0.85;0.15;2.5;;;350;49;258;31;115;6414.77
PSC3A*;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";50.4;6.37;1.19;14.91;11.07;0.17;10.48;2.07;1.12;0.21;1.7;;;420;32;356;23;132;7134.18
PSC3C;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";46.7;7.3;1.11;15.22;10.89;0.17;10.74;1.9;0.93;0.2;4.6;;;301;39;305;18;108;6654.57
PSC3D;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";48.83;6.28;2.11;12.72;13.34;0.21;8.17;2.1;1.77;0.37;3.8;;;621;46;336;33;221;12649.68
PSC3F;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";49.05;6.4;1.13;14.01;10.51;0.15;7.81;3.92;1.01;0.21;5.5;;;524;19;528;18;112;6774.47
PSC3G;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";50.39;5.14;1.77;13.4;12.83;0.18;8.63;2.25;1;0.33;3.8;;;380;18;390;28;189;10611.34
PSC3J;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";49.51;4.79;1.44;15.4;12.51;0.17;8.63;2.2;1.95;0.19;3;;;320;64;221;27;141;8632.96
PSC3K;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";50.02;4.38;1.39;14.42;12.08;0.14;7.46;2.81;1.97;0.18;4.9;;;326;72;236;24;134;8333.2
PSC3L;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";48.19;6.87;1.13;14.36;10.97;0.14;9.3;2.51;1.16;0.2;4.9;;;279;48;337;21;119;6774.47
PSC3M*;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";49.48;5.58;1.34;15.63;12.37;0.17;9.29;2.07;1.6;0.18;2.1;;;282;35;207;24;124;8033.45
PSC18;-29.70154722;-52.41185556;Barreto et al. 2016;"29°42'5.57""S";"52°24'42.68""W";52.95;4.58;1.38;16.17;10.35;0.15;8.46;2.4;1.84;0.19;1.3;;;406;50;239;28;174;8273.25
PSC22;-29.52283056;-52.64059167;Barreto et al. 2016;"29°31'22.19""S";"52°38'26.13""W";51.21;5.12;1.17;16.35;10.27;0.15;9.55;2.27;1.28;0.21;2.2;;;396;29;294;24;139;7014.28
PSC23;-29.52944444;-52.63707778;Barreto et al. 2016;"29°31'46.00""S";"52°38'13.48""W";47.97;6.6;1.05;15.65;10.97;0.2;10.63;1.76;0.45;0.15;4.4;;;213;15;246;21;114;6294.87
PSC26*;-29.543925;-52.63853889;Barreto et al. 2016;"29°32'38.13""S";"52°38'18.74""W";53.2;5.45;1.14;14.88;10.68;0.17;8.91;2.21;1.92;0.17;1.1;;;358;73;211;24;144;6834.43
PSC27;-29.68644167;-52.42185556;Barreto et al. 2016;"29°41'11.19""S";"52°25'18.68""W";50.3;4.04;1.44;15.34;11.67;0.18;8.39;1.82;0.82;0.22;5.5;;;319;17;273;36;226;8632.96
PSC28;-29.67969167;-52.42041667;Barreto et al. 2016;"29°40'46.89""S";"52°25'13.50""W";56.41;3.31;1.41;14.82;10.85;0.16;7.09;2.24;2.76;0.21;0.5;;;512;76;204;32;218;8453.11
PSC29;-29.51993333;-52.07109444;Barreto et al. 2016;"29°31'11.76""S";"52° 4'15.94""W";46.97;6.62;0.98;15.5;10.56;0.17;10.08;2.16;1.25;0.11;5.4;;;285;23;159;19;94;5875.21
PSC3I;-29.55278333;-52.63437778;Barreto et al. 2016;"29°33'10.02""S";"52°38'3.76""W";52.34;3.94;1.2;14;10.83;0.14;7.12;2.41;1.42;0.18;6.2;;;341;39;466;21;117;7194.13
LC17C;-29.35666667;-49.73527778;Rossetti et al., 2021;"29°21'24""S";"49°44'7""W";55.29;3.2;1.55;12.87;13.43;0.18;6.62;2.33;2.05;0.22;1.9;;;387;74;192;34;184;9292.42
LC20B;-29.63083333;-50.15944444;Rossetti et al., 2021;"29°37'51""S";"50°9'34""W";55.99;4.12;1.3;14.33;9.98;0.15;6.98;2.6;2.35;0.25;1.7;;;539;81;265;28;215;7793.64
LC20A;-29.63083333;-50.15944444;Rossetti et al., 2021;"29°37'51""S";"50°9'34""W";55.25;4.22;1.28;14.21;10.06;0.14;6.97;2.19;2.51;0.26;2.6;;;540;54;254;29;209;7673.74
SG124Q;-29.51810833;-50.31581944;Rossetti et al., 2021;"29°31'5.19""S";"50°18'56.95""W";53.08;4.45;1.24;15.49;10.65;0.15;8.26;2.53;1.99;0.2;1.7;;;391;51;278;28;175;7433.94
LBC56;-29.62986389;-51.15056389;Rossetti et al., 2021;"29°37'47.51""S";"51°9'2.03""W";54.64;4.61;1.23;14.28;9.81;0.14;7.88;2.05;1.63;0.26;3.2;;;611;32;321;29;206;7373.99
SG125Q;-29.51248611;-50.31378333;Rossetti et al., 2021;"29°30'44.95""S";"50°18'49.62""W";54.85;4.72;1.23;14.14;10.52;0.14;7.97;2.51;2.02;0.2;1.4;;;475;68;275;27;164;7373.99
LC14;-29.51277778;-50.31416667;Rossetti et al., 2021;"29°30'46""S";"50°18'51""W";53.84;4.9;1.24;14.28;10.68;0.16;8.09;2.5;2;0.2;1.8;;;424;61;274;27;160;7433.94
BR08;-29.41926111;-50.16995833;Rossetti et al., 2021;"29°25'9.34""S";"50°10'11.85""W";53.52;5.2;1.18;14.73;10.94;0.17;8.5;2.42;1.72;0.2;1.2;;;341;49;234;26;153;7074.23
LBC46;-29.87753333;-50.39480278;Rossetti et al., 2021;"29°52'39.12""S";"50°23'41.29""W";55.85;5.39;1.07;13.9;9.73;0.15;7.81;1.93;1.05;0.15;2.7;;;406;23;288;27;179;6414.77
BR07;-29.42748889;-50.15831389;Rossetti et al., 2021;"29°25'38.96""S";"50°9'29.93""W";53.35;5.55;1.18;14.65;10.81;0.17;8.65;2.24;1.57;0.2;1.4;;;345;47;246;26;155;7074.23
SG6;-29.57535;-52.82880833;Rossetti et al., 2021;"29°34'31.26""S";"52°49'43.71""W";51.86;5.74;1.11;14.89;10.58;0.15;9.2;2.19;1.7;0.14;2.1;;;337;60;229;25;139;6654.57
LC21;-29.55305556;-51.09305556;Rossetti et al., 2021;"29°33'11""S";"51°5'35""W";49.46;6.02;1.13;15.12;10.9;0.16;9.73;1.96;0.98;0.16;4.1;;;272;24;220;26;135;6774.47
LC24A;-29.25916667;-52.15444444;Rossetti et al., 2021;"29°15'33""S";"52°9'16""W";48.18;6.16;1.04;15.07;9.35;0.13;9.83;1.8;0.88;0.14;7.1;;;243;29;185;21;127;6234.91
SG106Q;-29.729025;-50.61430556;Rossetti et al., 2021;"29°43'44.49""S";"50°36'51.50""W";52.08;6.38;1.17;14.95;10.58;0.16;9.62;2.04;1.32;0.16;1.2;;;332;38;258;23;140;7014.28
SG103Q;-29.74215833;-50.85297222;Rossetti et al., 2021;"29°44'31.77""S";"50°51'10.70""W";51.71;6.41;1.19;14.75;10.64;0.17;8.59;2.37;1.54;0.17;2.2;;;338;38;262;25;136;7134.18
CT3;-29.36717778;-52.06253333;Rossetti et al., 2021;"29°22'1.84""S";"52°3'45.12""W";50.56;6.53;1;14.77;10.27;0.18;9.92;1.97;1.06;0.14;3.3;;;325;33;283;24;125;5995.11
SG102Q;-29.75599722;-50.87388611;Rossetti et al., 2021;"29°45'21.59""S";"50°52'25.99""W";50.68;6.57;1.19;14.98;10.73;0.17;9.52;2.18;1.42;0.17;2.1;;;353;44;272;24;136;7134.18
LBC78C;-29.01728056;-51.54829444;Rossetti et al., 2021;"29°1'2.21""S";"51°32'53.86""W";50.65;6.67;1.09;14.68;11.43;0.23;9.45;2.53;1.36;0.15;1.5;;;364;40;241;25;130;6534.67
CT1B;-29.36717778;-52.06253333;Rossetti et al., 2021;"29°22'1.84""S";"52°3'45.12""W";50.14;6.74;0.97;14.86;9.89;0.15;9.93;2.01;0.79;0.13;4.1;;;311;28;257;21;120;5815.26
LC24C;-29.25916667;-52.15444444;Rossetti et al., 2021;"29°15'33""S";"52°9'16""W";48.71;6.94;1.07;14.96;10.04;0.14;9.69;1.86;0.56;0.14;5.6;;;222;13;211;23;130;6414.77
LR14B;-29.36711944;-51.37027222;Rossetti et al., 2021;"29°22'1.63""S";"51°22'12.98""W";50.38;6.99;0.97;14.94;10.03;0.14;9.68;2.28;1.23;0.13;2.9;;;348;25;254;21;113;5815.26
LR14A;-29.36711944;-51.37027222;Rossetti et al., 2021;"29°22'1.63""S";"51°22'12.98""W";49.4;7.08;1;15.17;10.4;0.17;10.11;2.08;1.02;0.13;3.1;;;315;21;246;22;117;5995.11
SG123Q;-29.55268333;-50.30518056;Rossetti et al., 2021;"29°33'9.66""S";"50°18'18.65""W";51.12;7.44;0.92;14.75;10;0.16;10.42;1.96;0.95;0.12;1.8;;;321;23;267;23;117;5515.5
LC24B;-29.25916667;-52.15444444;Rossetti et al., 2021;"29°15'33""S";"52°9'16""W";51.45;7.46;1.04;14.04;10.15;0.14;9.17;2.03;1.43;0.15;2.6;;;287;45;208;22;124;6234.91
LC1;-29.60694444;-50.76138889;Rossetti et al., 2021;"29°36'25""S";"50°45'41""W";50.19;7.7;0.92;14.4;9.93;0.13;9.82;1.77;0.62;0.12;4.1;;;205;13;224;21;113;5515.5
LC15;-29.515;-50.31666667;Rossetti et al., 2021;"29°30'54""S";"50°19'0""W";55.55;4.34;1.1;14.63;10.26;0.17;7.35;2.39;2.36;0.16;1.4;;;361;77;198;25;155;6594.62
SM57;-29.27885833;-51.89063333;Rossetti et al., 2021;"29°16'43.89""S";"51°53'26.28""W";50;6.21;1.06;14.76;10.47;0.13;9.02;2.04;1.22;0.14;4.7;;;241;57;226;22;117;6354.82
SM55;-29.18844167;-51.92029167;Rossetti et al., 2021;"29°11'18.39""S";"51°55'13.05""W";48.84;6.68;1.06;15.85;10.3;0.14;10.12;1.94;0.65;0.14;4;;;242;16;226;22;124;6354.82
SG80B;-29.51529167;-51.94023333;Rossetti et al., 2021;"29°30'55.05""S";"51°56'24.84""W";46.39;6.79;1.16;14.82;10.9;0.16;10.23;1.97;0.54;0.2;6.5;;;235;8;270;20;122;6954.33
SM58;-29.40333889;-51.95399722;Rossetti et al., 2021;"29°24'12.02""S";"51°57'14.39""W";48.14;7.07;1.09;15.53;10.4;0.16;9.46;2.02;0.85;0.13;4.9;;;216;34;215;21;102;6534.67
LR7A;-29.42373333;-51.35025556;Rossetti et al., 2021;"29°25'25.44""S";"51°21'0.92""W";50.65;7.12;0.95;14.58;10.24;0.16;10.29;2.04;0.67;0.12;2.9;;;236;21;247;20;110;5695.35
BR05B;-29.54686944;-50.07994722;Rossetti et al., 2021;"29°32'48.73""S";"50°4'47.81""W";50.24;7.35;0.89;15.1;10.1;0.15;10.96;1.75;0.98;0.13;2.1;;;234;26;224;19;92;5335.65
SG119Q;-29.54700833;-50.07993889;Rossetti et al., 2021;"29°32'49.23""S";"50°4'47.78""W";51.09;7.35;0.92;15.1;9.98;0.16;11.04;1.78;0.92;0.12;1.2;;;238;23;234;20;98;5515.5
LR7B;-29.42373333;-51.35025556;Rossetti et al., 2021;"29°25'25.44""S";"51°21'0.92""W";48.85;7.44;0.9;14.94;10.2;0.15;9.71;2.31;0.98;0.11;4.1;;;244;25;221;20;96;5395.6
LR55A;-29.444775;-51.34866944;Rossetti et al., 2021;"29°26'41.19""S";"51°20'55.21""W";51.36;7.65;1.12;14.76;10.92;0.16;10;1.98;1.03;0.15;0.6;;;265;32;235;21;125;6714.52
BR05A;-29.54686944;-50.07994722;Rossetti et al., 2021;"29°32'48.73""S";"50°4'47.81""W";49.56;8.14;0.81;15.07;9.84;0.16;10.78;1.85;0.89;0.11;2.5;;;198;18;205;17;80;4856.04
LR55B;-29.444775;-51.34866944;Rossetti et al., 2021;"29°26'41.19""S";"51°20'55.21""W";50.23;8.59;1.01;14.58;10.83;0.17;10.39;1.82;0.86;0.12;1.1;;;226;25;224;20;98;6055.06
LBC9;-29.54311944;-51.08508889;Rossetti et al. 2014;"29°32'35.23""S";"51°5'6.32""W";55.39;2.95;1.75;12.63;14.15;0.18;6.75;2.53;2.17;0.22;1;;;522;83;227;34;196;10491.44
LBC10;-29.49438611;-51.14339722;Rossetti et al. 2014;"29°29'39.79""S";"51°8'36.23""W";55.53;2.89;1.83;12.54;14.69;0.18;6.51;2.46;2.16;0.21;0.7;;;482;78;231;48;196;10971.05
LBC16A;-29.40541667;-51.13307778;Rossetti et al. 2014;"29°24'19.50""S";"51°7'59.08""W";51.74;5.69;1.22;14.3;12.21;0.21;8.91;2.33;1.21;0.18;1.7;;;411;29;247;31;160;7314.03
LBC19;-29.37500833;-51.13321389;Rossetti et al. 2014;"29°22'30.03""S";"51°7'59.57""W";54.41;3.79;1.45;13.25;13.48;0.19;7.13;2.51;2.16;0.2;1.2;;;432;83;209;34;185;8692.91
LBC25;-29.35925556;-51.12782778;Rossetti et al. 2014;"29°21'33.32""S";"51°7'40.18""W";52.22;5.26;1.37;13.13;13.4;0.2;9.32;2.46;1.25;0.19;0.9;;;340;47;211;32;148;8213.3
LR16*;-29.33971111;-51.36160556;Rossetti et al. 2014;"29°20'22.96""S";"51°21'41.78""W";52.9;3.44;1.42;13.21;13.89;0.18;5.86;2.98;2.61;0.18;3.1;;;449;79;133;27;143;8513.06
LR18B*;-29.33487778;-51.35741389;Rossetti et al. 2014;"29°20'5.56""S";"51°21'26.69""W";56.84;2.97;1.46;13.1;13.03;0.18;6.69;2.52;2.55;0.22;0.2;;;516;80;215;33;181;8752.86
LR23A;-29.30835278;-51.34095833;Rossetti et al. 2014;"29°18'30.07""S";"51°20'27.45""W";53.07;5.01;1.17;14.81;11.72;0.18;8.98;2.43;1.73;0.16;0.5;;;394;55;253;26;135;7014.28
LR27B;-29.28893333;-51.33029444;Rossetti et al. 2014;"29°17'20.16""S";"51°19'49.06""W";51.11;4.42;1.52;13.44;13.8;0.21;7.95;2.12;1.4;0.19;3.5;;;685;92;260;32;143;9112.57
LR38A;-28.96081667;-51.17446944;Rossetti et al. 2014;"28°57'38.94""S";"51°10'28.09""W";53.39;4.7;1.41;13.65;12.44;0.19;8.78;2.53;0.78;0.18;1.7;;;327;45;224;28;158;8453.11
PSC4A*;-29.52101667;-52.64204722;Barreto et al. 2016;"29°31'15.66""S";"52°38'31.37""W";55.96;3.06;1.55;12.9;13.66;0.18;6.57;2.64;2.11;0.21;0.9;;;381;76;208;32;171;9292.42
PSC4B;-29.52101667;-52.64204722;Barreto et al. 2016;"29°31'15.66""S";"52°38'31.37""W";55.46;3.11;1.56;12.97;13.69;0.19;6.57;2.57;2.19;0.2;1.3;;;404;81;215;31;169;9352.37
PSC5B*;-29.52151389;-52.65010278;Barreto et al. 2016;"29°31'17.45""S";"52°39'0.37""W";53.83;4.37;1.41;13.54;13.03;0.17;8.04;2.59;1.79;0.19;0.8;;;315;68;208;28;137;8453.11
PSC20*;-29.51758056;-52.65077222;Barreto et al. 2016;"29°31'3.29""S";"52°39'2.78""W";52.22;4.77;1.47;14.24;13.09;0.2;8.63;2.53;1.17;0.2;1.2;;;330;42;226;29;148;8812.81
PSC21;-29.52120278;-52.65031389;Barreto et al. 2016;"29°31'16.33""S";"52°39'1.13""W";50.16;5.48;1.4;14.39;13.03;0.18;9.34;2.33;0.79;0.18;2.5;;;278;14;230;27;129;8393.15
PSC31;-29.25254444;-52.16374444;Barreto et al. 2016;"29°15'9.16""S";"52°9'49.48""W";51.6;5.66;1.04;14.19;12.2;0.18;8.98;2.31;1.35;0.12;2.2;;;260;32;219;20;99;6234.91
PSC30;-29.25254444;-52.16374444;Barreto et al. 2016;"29°15'9.16""S";"52°9'49.48""W";52.76;4;1.4;13.31;13.1;0.18;8.04;2;0.82;0.17;3.9;;;326;22;420;33;163;8393.15
BR19A;-29.371575;-50.18196944;Rossetti et al., 2021;"29°22'17.67""S";"50°10'55.09""W";55.56;2.15;1.88;11.73;13.22;0.21;4.19;2.53;4.64;0.26;3.4;;;526;134;40;42;211;11270.81
BR10*;-29.38695;-50.18627778;Rossetti et al., 2021;"29°23'13.02""S";"50°11'10.60""W";59.21;2.46;1.24;13.43;9.57;0.14;6.19;2.46;2.16;0.25;2.7;;;540;97;240;32;197;7433.94
SM29;-28.57508333;-51.95923611;Rossetti et al., 2021;"28°34'30.30""S";"51°57'33.25""W";53.05;2.88;1.9;12.09;16.37;0.21;5.97;2.62;2.16;0.28;2.2;;;350;70;162;43;182;11390.71
SM48;-29.03778611;-52.02893056;Rossetti et al., 2021;"29°2'16.03""S";"52°1'44.15""W";55.15;2.92;1.79;12.29;14.97;0.19;6.39;2.63;2.55;0.29;0.6;;;324;110;152;35;167;10731.25
LC23;-29.54555556;-51.08527778;Rossetti et al., 2021;"29°32'44""S";"51°5'7""W";53.41;2.96;1.91;12.87;15.03;0.18;6.45;2.37;2.54;0.2;1.8;;;465;105;190;33;189;11450.66
BR17A;-29.37684722;-50.18036944;Rossetti et al., 2021;"29°22'36.65""S";"50°10'49.33""W";55.49;2.96;1.73;11.9;13.98;0.2;5.99;2.85;2.72;0.25;1.7;;;512;83;119;35;203;10371.54
SM49;-29.03473056;-52.03160556;Rossetti et al., 2021;"29°2'5.03""S";"52°1'53.78""W";53.57;2.97;1.91;12.35;16.08;0.21;6.8;2.93;1.75;0.27;0.9;;;330;63;182;41;175;11450.66
BR17B;-29.37684722;-50.18036944;Rossetti et al., 2021;"29°22'36.65""S";"50°10'49.33""W";55.95;3.01;1.69;12.97;13.65;0.18;6.47;2.67;2.45;0.24;0.5;;;438;76;180;34;192;10131.74
LBC6;-29.55433333;-51.0915;Rossetti et al., 2021;"29°33'15.60""S";"51°5'29.40""W";54.63;3.07;1.83;12.61;14.68;0.19;6.52;2.44;2.24;0.2;1.3;;;584;86;200;71;181;10971.05
LC30;-29.20555556;-52.18222222;Rossetti et al., 2021;"29°12'20""S";"52°10'56""W";57.16;3.22;1.55;13.24;11.71;0.15;6.16;2.68;2.55;0.26;1;;;472;103;195;39;221;9292.42
LBC82A;-29.01773333;-51.52697222;Rossetti et al., 2021;"29°1'3.84""S";"51°31'37.10""W";52.97;3.23;1.59;13.42;14.04;0.18;5.76;2.59;3.64;0.22;2.1;;;618;103;153;37;207;9532.22
LC26;-29.16777778;-52.22111111;Rossetti et al., 2021;"29°10'4""S";"52°13'16""W";53.4;3.32;1.77;12.4;14.84;0.21;7.33;2.59;1.19;0.27;2.4;;;323;81;199;42;186;10611.34
SG27;-29.65067222;-53.75740833;Rossetti et al., 2021;"29°39'2.42""S";"53°45'26.67""W";53.12;3.37;1.78;12.45;14.58;0.19;6.67;2.58;2.44;0.23;2.3;;;393;117;210;37;190;10671.3
SG23;-29.59851111;-53.54438889;Rossetti et al., 2021;"29°35'54.64""S";"53°32'39.80""W";53.05;3.42;1.83;12.67;14.92;0.18;6.63;2.62;1.98;0.24;2.2;;;408;76;236;39;199;10971.05
SG26*;-29.6523;-53.76239722;Rossetti et al., 2021;"29°39'8.28""S";"53°45'44.63""W";53.74;3.48;1.87;12.51;14.92;0.2;6.58;2.69;1.99;0.24;1.5;;;385;75;217;39;197;11210.86
LBC81;-28.962575;-51.58158611;Rossetti et al., 2021;"28°57'45.27""S";"51°34'53.71""W";54.35;3.51;1.71;13.62;13.05;0.19;7.05;2.82;2.29;0.28;0.9;;;512;85;221;40;218;10251.64
BR16B;-29.37389722;-50.18420556;Rossetti et al., 2021;"29°22'26.03""S";"50°11'3.14""W";49.91;3.67;1.04;13.99;10.43;0.13;8.99;2.13;0.87;0.16;8.4;;;525;51;1180;24;122;6234.91
SG95Q;-28.87971667;-54.94059444;Rossetti et al., 2021;"28°52'46.98""S";"54°56'26.14""W";52.64;3.93;1.95;12.79;15.08;0.21;7.29;2.53;1.92;0.23;1.1;;;342;77;188;40;184;11690.46
LBC43;-27.79028611;-51.18985556;Rossetti et al., 2021;"27°47'25.03""S";"51°11'23.48""W";52.54;3.96;1.85;12.85;14.74;0.2;8.07;2.56;1.15;0.25;1.6;;;348;62;198;37;176;11090.95
BR11;-29.38523333;-50.18810833;Rossetti et al., 2021;"29°23'6.84""S";"50°11'17.19""W";54.17;3.98;1.43;13.38;13.16;0.18;7.07;2.71;2.37;0.21;1.1;;;398;76;173;29;158;8573.01
BR13A;-29.38101111;-50.195475;Rossetti et al., 2021;"29°22'51.64""S";"50°11'43.71""W";51.72;4.02;1.35;12.67;13.22;0.14;7.72;1.99;1.89;0.16;4.9;;;259;68;97;26;127;8093.4
SG25;-29.65484444;-53.77269167;Rossetti et al., 2021;"29°39'17.44""S";"53°46'21.69""W";53.38;4.05;1.67;13;14.88;0.21;7.4;2.68;1.55;0.2;0.7;;;342;58;237;34;168;10011.83
SG96Q;-28.22420556;-54.9806;Rossetti et al., 2021;"28°13'27.14""S";"54°58'50.16""W";53.72;4.19;1.68;12.81;13.95;0.22;8;2.76;1.43;0.2;0.8;;;299;53;190;40;165;10071.78
SG7;-29.57039722;-52.82742778;Rossetti et al., 2021;"29°34'13.43""S";"52°49'38.74""W";53.54;4.33;1.21;13.79;12.71;0.2;8.72;2.41;1.81;0.12;0.9;;;324;55;219;25;126;7254.08
GA22;-28.956425;-51.14036111;Rossetti et al., 2021;"28°57'23.13""S";"51°8'25.30""W";53.19;4.48;1.44;13.42;12.73;0.18;8.47;2.45;1.22;0.19;2;;;343;37;237;30;146;8632.96
SM19;-28.87900833;-51.45498889;Rossetti et al., 2021;"28°52'44.43""S";"51°27'17.96""W";52.4;4.5;1.6;13.39;13.83;0.21;7.97;2.51;1.51;0.25;1.5;;;400;38;256;31;168;9592.18
BR27B;-29.35018889;-50.17423056;Rossetti et al., 2021;"29°21'0.68""S";"50°10'27.23""W";52.59;4.53;1.37;13.3;12.39;0.18;8.22;2.39;1.21;0.2;3.4;;;198;35;232;30;145;8213.3
CT5A;-29.03776111;-51.30639444;Rossetti et al., 2021;"29°2'15.94""S";"51°18'23.02""W";52.33;4.68;1.36;13.76;12.62;0.19;8.5;2.32;0.69;0.19;3.1;;;299;33;264;32;152;8153.35
GA14B;-28.96796667;-51.11411389;Rossetti et al., 2021;"28°58'4.68""S";"51°6'50.81""W";52.09;4.69;1.37;13.36;12.34;0.18;8.72;2.44;0.6;0.19;3.8;;;170;13;229;28;136;8213.3
BR25;-29.35134722;-50.17127222;Rossetti et al., 2021;"29°21'4.85""S";"50°10'16.58""W";53.16;4.69;1.41;13.58;12.57;0.18;8.68;2.53;1.06;0.19;1.7;;;344;30;226;31;154;8453.11
